scenario,t,y
Base,0,0.9982090836261924
Base,900,0.9996308422701287
Base,1800,0.9997964906789032
Base,2700,0.9997641641188622
Base,3600,0.9998873531766801
Base,4500,0.9996234279131081
Base,5400,0.9994140145769399
Base,6300,0.9996968649541212
Base,7200,0.9995145750660215
Base,8100,0.9993537011142177
Base,9000,0.9992834224446435
Base,9900,0.999401122396624
Base,10800,0.9988947485334232
Base,11700,0.9987288607222665
Base,12600,0.9988471482750607
Base,13500,0.9986484547735601
Base,14400,0.9979758047439452
Base,15300,0.9977435002679703
Base,16200,0.9962645383059388
Base,17100,0.9946250713710464
Base,18000,0.9887370226295369
Base,18900,0.9778227747387248
Base,19800,0.9536079279588623
Base,20700,0.9266488714174335
Base,21600,0.9191152961702374
Base,22500,0.9266834450568966
Base,23400,0.9230057912942713
Base,24300,0.9241881140488837
Base,25200,0.9254968194828441
Base,26100,0.925033696436922
Base,27000,0.9231654304224883
Base,27900,0.9183423559189532
Base,28800,0.9201420530384847
Base,29700,0.9198242973670776
Base,30600,0.9166798393336728
Base,31500,0.9106741981641118
Base,32400,0.9134316562515271
Base,33300,0.9181564258145
Base,34200,0.9214373945661544
Base,35100,0.9224584917081757
Base,36000,0.9224221410320598
Base,36900,0.9254419040382456
Base,37800,0.9288906672596395
Base,38700,0.9257934157948702
Base,39600,0.9269396155449494
Base,40500,0.925955791259937
Base,41400,0.925121719918795
Base,42300,0.9224509247686429
Base,43200,0.9228807411538074
Base,44100,0.9208192787210456
Base,45000,0.9166389850938194
Base,45900,0.9135687550629285
Base,46800,0.9136630051584536
Base,47700,0.9158708457432377
Base,48600,0.9119398624542614
Base,49500,0.9115034529119947
Base,50400,0.9126606670613254
Base,51300,0.9115972477420154
Base,52200,0.9076721745581511
Base,53100,0.9084043169840816
Base,54000,0.9087367035465946
Base,54900,0.9058937787515218
Base,55800,0.9069778939808144
Base,56700,0.9066915404513403
Base,57600,0.9040533338838144
Base,58500,0.9025946047215058
Base,59400,0.9046026912157752
Base,60300,0.9047577129173794
Base,61200,0.9058450070259153
Base,62100,0.9088585306640642
Base,63000,0.9100100686897128
Base,63900,0.9137404622002784
Base,64800,0.9129563086531948
Base,65700,0.9150965837791937
Base,66600,0.9170789014093971
Base,67500,0.9189680133695151
Base,68400,0.9204558057977793
Base,69300,0.9206934031825676
Base,70200,0.9206877390054838
Base,71100,0.9159840876509118
Base,72000,0.9174459494141118
Base,72900,0.9350010738210203
Base,73800,0.9490115595215404
Base,74700,0.9599430150034112
Base,75600,0.9656086489264117
Base,76500,0.9696398261834773
Base,77400,0.9720716270855984
Base,78300,0.9750356459665662
Base,79200,0.9747526129317703
Base,80100,0.9792220008414739
Base,81000,0.9820217580244976
Base,81900,0.9831576435859687
Base,82800,0.9829921854239326
Base,83700,0.9856800625998174
Base,84600,0.987673631205413
Base,85500,0.9903567469447858
Near future,0,0.9983765310537943
Near future,900,0.9996672162718625
Near future,1800,0.9996293379117522
Near future,2700,0.9997897135928205
Near future,3600,0.9996899898837306
Near future,4500,0.9995981821089712
Near future,5400,0.9997718365057687
Near future,6300,0.9996265383783255
Near future,7200,0.9993666838048454
Near future,8100,0.9994847142041623
Near future,9000,0.9993029822495273
Near future,9900,0.9991715845342358
Near future,10800,0.9993519093860306
Near future,11700,0.9989576636511325
Near future,12600,0.9989153492606926
Near future,13500,0.9981201222479065
Near future,14400,0.9982060366422367
Near future,15300,0.9973119669453064
Near future,16200,0.9964393863328903
Near future,17100,0.9939197441069197
Near future,18000,0.9889167534886507
Near future,18900,0.9760474157358141
Near future,19800,0.9513579699731052
Near future,20700,0.9218789806437071
Near future,21600,0.9165441220326334
Near future,22500,0.9244081868561871
Near future,23400,0.9241714983212246
Near future,24300,0.9256398584563346
Near future,25200,0.9263725394108041
Near future,26100,0.9238416946077154
Near future,27000,0.9198359098969697
Near future,27900,0.9146872903589418
Near future,28800,0.9142936326311998
Near future,29700,0.9137557930775079
Near future,30600,0.9134936276212573
Near future,31500,0.9080712070805435
Near future,32400,0.9105155950139479
Near future,33300,0.9136832542814617
Near future,34200,0.9185558156447704
Near future,35100,0.9217118939923915
Near future,36000,0.9202167434301177
Near future,36900,0.9232022412416191
Near future,37800,0.9276600405419859
Near future,38700,0.9235122877529878
Near future,39600,0.9248957882949248
Near future,40500,0.9240653513872417
Near future,41400,0.9225379220937976
Near future,42300,0.9190854393217801
Near future,43200,0.9181257127232587
Near future,44100,0.9181209690836165
